puzzle,difficulty
730480951510673082804950673900267148481395267672040395068014739390006504045709020,easy
149075362230491875580362491750280039903507286628139547471658023865023714392714658,easy
569804273104027596237659148645780329392465817871032604953146702416278930728093461,easy
027803506130006792405092013016204379540079001090600204084900037059130060000460900,easy
310704098457800316298610450180400902972081060004209080021030709630947021749008605,easy
315607842802531076900204005687423091234059600591068204720040069169872403450016020,easy
967350018520841967408796523004963000085417600639528174056284791791605042840170300,easy
001480050905107300000529716470030009000600407100800023050708234010042695040906000,easy
304981020891265470625700198016523847250470610700190302409012735037849261160357984,easy
050000801069183000003000602807090016592631470030847925008400100910070054020906083,easy
930018604000002900600003087008200513510870002490051068800005001371684059050100040,easy
350014968107069032698035417204900085019580004865423179583040790976000040021600850,easy
932500470560487932478003501806274190093065247207130050610708324320091780785342009,easy
685247019274913056931658742819765403750324198342891067467132985123589674590000231,easy
000015800053020400290067015300080741869041500010002980940170008502090173701208094,easy
651483279830279165092165483018794652947652831026831794275306948063948527489027306,easy
497100350635700812281500004503060081148320697009041235874010069010659000000070100,easy
968417325025098047147200960201863479683740250479521683514382796832970514790154832,easy
020007810047800029810020007400070200108205096035006108001082900380900761004700000,easy
915600472836724159047591368169837520378245690402916783681372945090168030723009816,easy
200000605600003004840165200080500732905302008023010056510639027472850060096247500,easy
040000317003245000069301204380412605956083020214059730400520809620890043700004500,easy
000162304703009621216430895062371948137894056409620713000043002825716409304208000,easy
021950300400820000057060002030608920610270453209004000090700608005000219380102000,easy
356498107094271065102650849417032698089714253005986071568149702723860914041327586,easy
000589074000007013407031500100490360736815000040370851003168005594003080618004702,easy
954603027721459683306027050569308002047005318813702065605801290402506871178294530,easy
703040050502030410004026370940612500621000004805904102006480001000291030009360847,easy
200851709518009046793426581450187092020645007871902465685703924942508170137294658,easy
590428063063159000204000001009005320006000408458032109930001642002003800010064030,easy
390082405218600793564003812085400270640729581972850340009217600056394100720568900,easy
935700412876010093104395687308071925259008074741509036583167249617942358402853761,easy
150893672893726415726150389382605901675419238419302567561948723030561894948237156,easy
920836175386715924175094386753421860869573040241089753017062538538107692692358407,easy
281479653065281790479365812852714936693852147714093028940538270530127469127946380,easy
004907305850461000209085000000038740407592138380746000136204009700800000508010274,easy
200000401004029380000470509076000908009637100400900637000064015007215803002893060,easy
795410862826075130143280759457321986968547213230698475612859347374162598080034620,easy
926103748874062351130047269358094012261005407749216583507429136092600875613578924,easy
038264050700803602000175000203417005090006000070089263580930400300600087016750309,easy
035100000680902540200534168060309850008061092903005016050207439702093685094650001,easy
000407859800362007400809362109528603580670104030190000004081235003040901910235746,easy
054621309079548100162703854200179430907054286005860900701005648048217590503006721,easy
500963471693147528410802630760428095309671084208030006874205003136784902920310000,easy
